Proprietário da Escola|SGE|INEP|C_lula|Setor|Rota|Owner
mamaral@positivo.com.br|735076|21277869|C8|C8S7|Rota 4 - MA|4259414000001001001
mamaral@positivo.com.br|13898|21168458|C8|C8S7|Rota 4 - MA|4259414000001001001
lmdsantos@positivo.com.br|703242|29466334|C7|C7S1|Rota 14 - BA|4259414000001059028
mamaral@positivo.com.br|1583779|21281580|C8|C8S7|Rota 4 - MA|4259414000001001001
mamaral@positivo.com.br|517634|41380312|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|1439|43069797|C2|C2S4|Rota 4 - RS|4259414000001001001
mamaral@positivo.com.br|3786|41076745|C2|C2S6|Rota 2 - PR|4259414000001001001
mamaral@positivo.com.br|3872|41354168|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|5335|22025448|C8|C8S7|Rota 2 - PI|4259414000001001001
mamaral@positivo.com.br|5546|41030605|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|8073|42108250|C2|C2S5|Rota 1 - SC|4259414000001001001
mamaral@positivo.com.br|13898|0|C8|C8S7|Rota 4 - MA|4259414000001001001
mamaral@positivo.com.br|18003|11002662|C8|C8S3|Rota 1 - RO|4259414000001001001
mamaral@positivo.com.br|19042|22006060|C8|C8S7|Rota 1 - PI|4259414000001001001
mamaral@positivo.com.br|19333|22022899|C8|C8S7|Rota 2 - PI|4259414000001001001
mamaral@positivo.com.br|20261|41354923|C2|C2S6|Rota 2 - PR|4259414000001001001
mamaral@positivo.com.br|20701|43012485|C2|C2S5|Rota 3 - RS|4259414000001001001
mamaral@positivo.com.br|21883|41021525|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|23514|41032837|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|25903|43208282|C2|C2S5|Rota 7 - RS|4259414000001001001
mamaral@positivo.com.br|28202|41021843|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|28489|41372115|C2|C2S6|Rota 4 - PR|4259414000001001001
mamaral@positivo.com.br|194237|35582748|C1|C1S10|Rota 21 - SP|4259414000001001001
mamaral@positivo.com.br|197833|11043318|C8|C8S3|Rota 2 - RO|4259414000001001001
mamaral@positivo.com.br|200288|42136016|C2|C2S5|Rota 2 - SC|4259414000001001001
mamaral@positivo.com.br|205200|23223812|C6|C6S8|Rota 8 - CE|4259414000001001001
mamaral@positivo.com.br|265302|41374940|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|517199|0|C2|C2S6|Rota 3 - PR|4259414000001001001
mamaral@positivo.com.br|517634|0|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|519104|11046538|C8|C8S3|Rota 1 - RO|4259414000001001001
mamaral@positivo.com.br|519227|43196675|C2|C2S5|Rota 7 - RS|4259414000001001001
mamaral@positivo.com.br|519238|43198732|C2|C2S5|Rota 8 - RS|4259414000001001001
mamaral@positivo.com.br|520279|43204465|C2|C2S5|Rota 1 - RS|4259414000001001001
mamaral@positivo.com.br|520414|43198864|C2|C2S5|Rota 2 - RS|4259414000001001001
mamaral@positivo.com.br|601755|41393619|C2|C2S6|Rota 5 - PR|4259414000001001001
mamaral@positivo.com.br|688398|43028187|C2|C2S5|Rota 6 - RS|4259414000001001001
mamaral@positivo.com.br|691978|41389948|C2|C2S6|Rota 2 - PR|4259414000001001001
mamaral@positivo.com.br|735076|0|C8|C8S7|Rota 4 - MA|4259414000001001001
mamaral@positivo.com.br|1092102|41436822|C2|C2S6|Rota 5 - PR|4259414000001001001
Gabriela.silva@positivo.com.br|1093301|33244227|C4|C4S3|Rota 2 - RJ|4259414000001058010
mamaral@positivo.com.br|1094738|22139915|C8|C8S7|Rota 4 - PI|4259414000001001001
mamaral@positivo.com.br|1094749|0|C8|C8S7|Rota 2 - PI|4259414000001001001
mamaral@positivo.com.br|1110213|0|C1|C1S10|Rota 21 - SP|4259414000001001001
mamaral@positivo.com.br|1117066|41561899|C2|C2S6|Rota 2 - PR|4259414000001001001
mamaral@positivo.com.br|1128145|35450637|C1|C1S10|Rota 21 - SP|4259414000001001001
mamaral@positivo.com.br|1133507|22138889|C8|C8S7|Rota 2 - PI|4259414000001001001
mamaral@positivo.com.br|1144613|42143861|C2|C2S5|Rota 2 - SC|4259414000001001001
mamaral@positivo.com.br|1155724|42270251|C2|C2S5|Rota 2 - SC|4259414000001001001
mamaral@positivo.com.br|1183965|0|C8|C8S7|Rota 4 - MA|4259414000001001001
mamaral@positivo.com.br|1246153|41372360|C2|C2S6|Rota 3 - PR|4259414000001001001
mamaral@positivo.com.br|1294894|41623924|C2|C2S6|Rota 3 - PR|4259414000001001001
mamaral@positivo.com.br|1298691|41148371|C2|C2S6|Rota 2 - PR|4259414000001001001
mamaral@positivo.com.br|1298693|41148398|C2|C2S6|Rota 2 - PR|4259414000001001001
mamaral@positivo.com.br|1333431|0|C8|C8S7|Rota 1 - PI|4259414000001001001
mamaral@positivo.com.br|1362031|11048727|C8|C8S3|Rota 1 - RO|4259414000001001001
mamaral@positivo.com.br|1459069|43006078|C2|C2S5|Rota 7 - RS|4259414000001001001
mamaral@positivo.com.br|1475300|43036090|C2|C2S5|Rota 6 - RS|4259414000001001001
mamaral@positivo.com.br|1495298|0|C1|C1S10|Rota 21 - SP|4259414000001001001
mamaral@positivo.com.br|1522504|0|C8|C8S7|Rota 1 - PI|4259414000001001001
mamaral@positivo.com.br|1525401|41156765|C2|C2S6|Rota 3 - PR|4259414000001001001
mamaral@positivo.com.br|1540338|11050071|C8|C8S3|Rota 1 - RO|4259414000001001001
mamaral@positivo.com.br|1583779|0|C8|C8S7|Rota 4 - MA|4259414000001001001
mamaral@positivo.com.br|1635323|0|C2|C2S5|Rota 1 - SC|4259414000001001001
mamaral@positivo.com.br|1635327|0|C8|C8S7|Rota 1 - PI|4259414000001001001
mamaral@positivo.com.br|1637122|41379306|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|1647208|0|C2|C2S5|Rota 1 - SC|4259414000001001001
mamaral@positivo.com.br|1654488|43084915|C2|C2S5|Rota 7 - RS|4259414000001001001
mamaral@positivo.com.br|1670366|0|C8|C8S3|Rota 1 - RO|4259414000001001001
mamaral@positivo.com.br|1687272|0|C2|C2S5|Rota 6 - RS|4259414000001001001
mamaral@positivo.com.br|1704710|0|C8|C8S7|Rota 3 - PI|4259414000001001001
mamaral@positivo.com.br|1730986|11049340|C8|C8S3|Rota 1 - RO|4259414000001001001
mamaral@positivo.com.br|1731665|0|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|1734236|0|C8|C8S7|Rota 4 - MA|4259414000001001001
mamaral@positivo.com.br|1734593|23066750|C6|C6S8|Rota 9 - CE|4259414000001001001
mamaral@positivo.com.br|1734938|0|C8|C8S7|Rota 1 - PI|4259414000001001001
mamaral@positivo.com.br|1735433|0|C8|C8S7|Rota 2 - PI|4259414000001001001
mamaral@positivo.com.br|1736400|0|C8|C8S7|Rota 5 - MA|4259414000001001001
mamaral@positivo.com.br|1763071|43247628|C2|C2S5|Rota 6 - RS|4259414000001001001
mamaral@positivo.com.br|1767548|0|C2|C2S5|Rota 2 - RS|4259414000001001001
mamaral@positivo.com.br|1793182|0|C2|C2S5|Rota 3 - RS|4259414000001001001
mamaral@positivo.com.br|1799840|0|C6|C6S8|Rota 8 - CE|4259414000001001001
mamaral@positivo.com.br|1803510|0|C6|C6S8|Rota 8 - CE|4259414000001001001
mamaral@positivo.com.br|1803674|41149912|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|1809067|0|C6|C6S8|Rota 9 - CE|4259414000001001001
mamaral@positivo.com.br|1810771|0|C2|C2S5|Rota 3 - RS|4259414000001001001
mamaral@positivo.com.br|1813451|41405021|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|1813967|35445733|C2|C2S6|Rota 4 - SP|4259414000001001001
mamaral@positivo.com.br|1814144|0|C6|C6S8|Rota 8 - CE|4259414000001001001
mamaral@positivo.com.br|1815782|0|C2|C2S6|Rota 6 - PR|4259414000001001001
rsbarbosa@positivo.com.br|6145|51122804||||4259414000000297001
rsbarbosa@positivo.com.br|7531|35124148||||4259414000000297001
rsbarbosa@positivo.com.br|14161|31004014||||4259414000000297001
rsbarbosa@positivo.com.br|21423|26176297||||4259414000000297001
rsbarbosa@positivo.com.br|193719|35153096||||4259414000000297001
rsbarbosa@positivo.com.br|199347|31285552||||4259414000000297001
rsbarbosa@positivo.com.br|205403|23232811||||4259414000000297001
rsbarbosa@positivo.com.br|233739|35452439||||4259414000000297001
rsbarbosa@positivo.com.br|522982|35109241||||4259414000000297001
rsbarbosa@positivo.com.br|524307|35122725||||4259414000000297001
rsbarbosa@positivo.com.br|568389|41405021||||4259414000000297001
rsbarbosa@positivo.com.br|1093482|53015118||||4259414000000297001
rsbarbosa@positivo.com.br|1112579|41379306||||4259414000000297001
rsbarbosa@positivo.com.br|1125605|28034627||||4259414000000297001
rsbarbosa@positivo.com.br|1256115|35461970||||4259414000000297001
rsbarbosa@positivo.com.br|1629895|35806493||||4259414000000297001
rsbarbosa@positivo.com.br|1738544|33149615||||4259414000000297001
mamaral@positivo.com.br|2005|41072006|C2|C2S6|Rota 2 - PR|4259414000001001001
mamaral@positivo.com.br|5550|41023951|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|9291|11000325|C8|C8S3|Rota 1 - RO|4259414000001001001
mamaral@positivo.com.br|9587|23066644|C6|C6S8|Rota 9 - CE|4259414000001001001
mamaral@positivo.com.br|23544|41032551|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|23929|41030796|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|134623|41373405|C2|C2S6|Rota 1 - PR|4259414000001001001
mamaral@positivo.com.br|183362|41379810|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|188760|35438005|C1|C1S10|Rota 21 - SP|4259414000001001001
mamaral@positivo.com.br|195681|11014016|C8|C8S3|Rota 2 - RO|4259414000001001001
mamaral@positivo.com.br|205274|23226366|C6|C6S8|Rota 9 - CE|4259414000001001001
mamaral@positivo.com.br|205463|23234547|C6|C6S8|Rota 9 - CE|4259414000001001001
mamaral@positivo.com.br|511456|23252138|C6|C6S8|Rota 9 - CE|4259414000001001001
mamaral@positivo.com.br|511469|23253070|C6|C6S8|Rota 9 - CE|4259414000001001001
mamaral@positivo.com.br|512918|0|C8|C8S7|Rota 4 - MA|4259414000001001001
alexandre.alvim@positivo.com.br|514626|31302422|C3|C3S4|Rota 2 - MG|4259414000001068001
mamaral@positivo.com.br|517214|41380959|C2|C2S6|Rota 2 - PR|4259414000001001001
mamaral@positivo.com.br|517558|41384113|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|517631|41380274|C2|C2S6|Rota 6 - PR|4259414000001001001
