sge_id|inep_id|escola_documento|pt_g1|pt_g2|pt_g3|pt_g4|pt_g5|pt_ef1_1_ano|pt_ef1_2_ano|pt_ef1_3_ano|pt_ef1_4_ano|pt_ef1_5_ano|pt_ef2_6_ano|pt_ef2_7_ano|pt_ef2_8_ano|pt_ef2_9_ano|pt_em_1_serie|pt_em_2_serie|pt_em_3_serie|pt_cpv_semi_extensivo|pt_cpv_extensivo|pu_g1|pu_g1_produto|pu_g2|pu_g2_produto|pu_g3|pu_g3_produto|pu_g4|pu_g4_produto|pu_g5|pu_g5_produto|pu_ef1_1_ano|pu_ef1_1_ano_produto|pu_ef1_2_ano|pu_ef1_2_ano_produto|pu_ef1_3_ano|pu_ef1_3_ano_produto|pu_ef1_4_ano|pu_ef1_4_ano_produto|pu_ef1_5_ano|pu_ef1_5_ano_produto|pu_ef2_6_ano|pu_ef2_6_ano_produto|pu_ef2_7_ano|pu_ef2_7_ano_produto|pu_ef2_8_ano|pu_ef2_8_ano_produto|pu_ef2_9_ano|pu_ef2_9_ano_produto|pu_em_1_serie|pu_em_1_serie_produto|pu_em_2_serie|pu_em_2_serie_produto|pu_em_3_serie|pu_em_3_serie_produto|pu_cpv_semi_extensivo|pu_cpv_semi_extensivo_produto|pu_cpv_extensivo|pu_cpv_extensivo_produto
1633820||26245141000168|0|0|20|20|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0||8|Conquista|2|Conquista|3|Conquista|0||0||0||0||0||0||0||0||0||0||0||0||0||0|
1704567||14853960000109|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0||0||8|Conquista|8|Conquista|10|Conquista|8|Conquista|8|Conquista|8|Conquista|8|Conquista|10|Conquista|6|Conquista|6|Conquista|6|Conquista|0||0||0||0||0|
1632910||28568503000187|0|0|10|10|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0||5|Conquista|2|Conquista|1|Conquista|0||0||0||0||0||0||0||0||0||0||0||0||0||0|
1634652||05919606000149|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0||0||0||12|Conquista|10|Conquista|12|Conquista|15|Conquista|10|Conquista|8|Conquista|0||0||0||0||0||0||0||0||0|
1804764||28601684000104|0|0|8|7|6|6|5|6|7|6|0|0|0|0|0|0|0|0|0|0||0||3|Conquista|7|Conquista|3|Conquista|6|Conquista|6|Conquista|8|Conquista|3|Conquista|3|Conquista|0||0||0||0||0||0||0||0||0|
1728216||31320264000156|0|0|40|40|40|40|30|35|30|25|40|40|0|0|0|0|0|0|0|0||0||40|Conquista|40|Conquista|30|Conquista|30|Conquista|30|Conquista|30|Conquista|30|Conquista|30|Conquista|30|Conquista|30|Conquista|0||0||0||0||0||0||0|
1814645||22366467000192|0|0|7|18|18|11|11|15|10|6|6|7|0|0|0|0|0|0|0|0||0||8|Conquista|8|Conquista|14|Conquista|9|Conquista|9|Conquista|10|Conquista|10|Conquista|5|Conquista|6|Conquista|4|Conquista|0||0||0||0||0||0||0|
1799974||21656644000102|0|30|30|30|30|30|35|35|35|26|27|15|9|30|0|0|0|0|0|0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0|
1585168||19237556000124|0|10|7|5|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||10|Mais Cores|7|Mais Cores|5|Mais Cores|5|Mais Cores|0||0||0||0||0||0||0||0||0||0||0||0||0||0|
1810321||32387095000134|0|0|15|15|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0||12|Conquista|10|Conquista|5|Conquista|0||0||0||0||0||0||0||0||0||0||0||0||0||0|
1732126||26659444000127|0|4|3|8|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0||3|Mais Cores|8|Mais Cores|5|Mais Cores|0||0||0||0||0||0||0||0||0||0||0||0||0||0|
1732248||28372087000147|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0|
1812507||20022058000143|0|0|20|18|17|18|15|11|13|8|0|0|0|0|0|0|0|0|0|0||0||16|Conquista|12|Conquista|8|Conquista|13|Conquista|11|Conquista|6|Conquista|8|Conquista|3|Conquista|0||0||0||0||0||0||0||0||0|
1586493||37372877000113|0|7|10|15|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0||8|Conquista|8|Conquista|6|Conquista|0||0||0||0||0||0||0||0||0||0||0||0||0||0|
